key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,down,0.005,db,0.046475065,0.0007541,214.5909652,214.5909652,214.8908246,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,down,0.005,db,0.046448319,0.000836,216.9242009,216.9242009,217.2240612,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,down,0.005,db,0.046448319,0.0008979,219.3909177,219.3909177,219.6908936,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,down,0.005,db,0.046448319,0.0008314,221.8075142,221.8075142,222.1073468,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,down,0.005,db,0.046421589,0.0008573,224.1740562,224.1740562,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,down,0.005,db,0.046421589,0.0008025,226.4576641,226.4576641,226.7575416,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,down,0.005,db,0.046421589,0.0008227,228.8074555,228.8074555,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,down,0.005,db,0.046394875,0.000924,231.0576598,231.0576598,231.3575408,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,down,0.005,db,0.046394875,0.0008239,233.4076179,233.4076179,233.7076242,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,down,0.005,db,0.046394875,0.0008906,235.7240392,235.7240392,236.0241571,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,down,0.005,db,0.046368175,0.0010633,238.0745698,238.0745698,238.3741968,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,down,0.005,db,0.046368175,0.0007875,240.4242267,240.4242267,240.7242889,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,down,0.005,db,0.046368175,0.0007813,242.8074461,242.8074461,243.1073704,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,98,down,0.005,db,0.046341491,0.0007828,245.1907617,245.1907617,245.4908953,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,99,down,0.005,db,0.046341491,0.0007559,247.557662,247.557662,247.8575087,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,101,100,down,0.005,db,0.046341491,0.0008004,249.8910806,249.8910806,250.1911258,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,102,101,down,0.005,db,0.046314823,0.0007891,252.2408595,252.2408595,252.5410176,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,103,102,down,0.005,db,0.046314823,0.0008296,254.5576474,254.5576474,254.8576171,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,104,103,down,0.005,db,0.046314823,0.0007579,256.9076651,256.9076651,257.2076373,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,105,104,down,0.005,db,0.046288169,0.0007718,259.2907742,259.2907742,259.5908403,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,106,105,down,0.005,db,0.046288169,0.0008758,261.6242725,261.6242725,261.9241939,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,107,106,down,0.005,db,0.046288169,0.0008036,263.9407661,263.9407661,264.2408523,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,108,107,down,0.005,db,0.046261531,0.0008425,266.2743018,266.2743018,266.5743352,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,109,108,down,0.005,db,0.046261531,0.0008776,268.5742737,268.5742737,268.8744595,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,110,109,down,0.005,db,0.046261531,0.0008019,270.8742952,270.8742952,271.1742086,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,111,110,down,0.005,db,0.046234909,0.0014082,273.2243131,273.2243131,273.5241434,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,112,111,down,0.005,db,0.046234909,0.0008072,275.5407962,275.5407962,275.8409384,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,113,112,down,0.005,db,0.046234909,0.0008358,277.8742198,277.8742198,278.1741139,0,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,114,113,up,0.005,db,0.046261531,0.0007674,280.2410161,280.2410161,280.5408725,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,115,114,up,0.005,db,0.046261531,0.0009383,282.6076304,282.6076304,282.9075934,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,116,115,up,0.005,db,0.046261531,0.000867,284.9907916,284.9907916,285.2907518,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
